       t = T/4        t = T/2          t = T 
      -0.305075      -0.200542       0.107201
      -0.297155      -0.195335       0.104417
      -0.289209      -0.190111       0.101624
      -0.281237       -0.18487      0.0988228
      -0.273239      -0.179613      0.0960136
      -0.265217       -0.17434      0.0931952
      -0.257172      -0.169052      0.0903681
      -0.249103      -0.163747      0.0875328
      -0.241013      -0.158429      0.0846898
        -0.2329      -0.153097      0.0818396
      -0.224767       -0.14775      0.0789822
      -0.216614      -0.142391      0.0761182
      -0.208442      -0.137019      0.0732466
      -0.200251      -0.131634      0.0703673
      -0.192042      -0.126238      0.0674831
      -0.183816       -0.12083      0.0645936
      -0.175573      -0.115411      0.0616972
      -0.167315      -0.109983      0.0587961
      -0.159042      -0.104545      0.0558888
      -0.150754     -0.0990968      0.0529762
      -0.142453     -0.0936402      0.0500595
      -0.134139     -0.0881751      0.0471378
      -0.125814     -0.0827018      0.0442125
      -0.117477     -0.0772217       0.041283
       -0.10913      -0.071735        0.03835
      -0.100772     -0.0662416      0.0354131
      -0.092406     -0.0607421      0.0324731
     -0.0840315     -0.0552376      0.0295303
     -0.0756497     -0.0497276      0.0265856
     -0.0672612     -0.0442126      0.0236394
     -0.0588669     -0.0386944      0.0206893
     -0.0504673     -0.0331733      0.0177364
      -0.042063     -0.0276497      0.0147833
     -0.0336549     -0.0221231      0.0118287
     -0.0252438     -0.0165936     0.00887169
     -0.0168303     -0.0110628     0.00591519
    -0.00841545    -0.00553152     0.00295853
              0              0              0
